Idx,Category,Qwen_Guess,Llama_Guess,Consensus_S1,DASE_Final,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
1,Frontier Math (AIME),CPD,CPD,CPD,ABCD,0,0,0,0,UNSTABLE,10,1.22498,649.02,0,0.0
2,Frontier Math (AIME),empty,empty,empty,164,0,0,0,1,STABLE,1,0.01263,17.19,0,0.0
3,Frontier Math (AIME),empty,empty,empty,20,0,0,0,1,STABLE,7,0.16357,112.48,0,0.0
4,Frontier Math (AIME),153,153,153,153,0,0,0,0,STABLE,1,0.1073099999999999,44.58,0,0.0
5,Frontier Math (AIME),728,728,728,728,1,1,1,1,STABLE,1,0.05286,24.19,0,0.0
6,Frontier Math (AIME),empty,empty,empty,"1000,99,90,8",0,0,0,0,UNSTABLE,10,0.8638,496.76,0,0.0
7,Frontier Math (AIME),empty,empty,empty,152,0,0,0,1,STABLE,6,0.3526999999999999,180.19,0,0.0
8,Frontier Math (AIME),501,501,501,501,1,1,1,1,STABLE,1,0.0667,29.91,0,0.0
9,Frontier Math (AIME),480,480,480,480,1,1,1,1,STABLE,1,0.07554,45.37,0,0.0
10,Frontier Math (AIME),empty,empty,empty,106,0,0,0,1,STABLE,1,0.02037,23.36,0,0.0
11,Frontier Math (AIME),empty,empty,empty,5,0,0,0,1,STABLE,7,0.2847599999999999,162.73,0,0.0
12,Frontier Math (AIME),368,368,368,368,1,1,1,1,STABLE,6,0.68639,319.74,0,0.0
13,Frontier Math (AIME),empty,empty,empty,250,0,0,0,1,STABLE,1,0.02133,16.47,0,0.0
14,Frontier Math (AIME),empty,empty,empty,29,0,0,0,1,STABLE,10,0.3817199999999999,266.31,0,0.0
15,Frontier Math (AIME),empty,empty,empty,112,0,0,0,1,STABLE,1,0.08394,41.12,0,0.0
16,Frontier Math (AIME),158,158,158,158,1,1,1,1,STABLE,1,0.05176,25.26,0,0.0
17,Frontier Math (AIME),empty,empty,empty,660,0,0,0,1,STABLE,7,0.63539,341.33,0,0.0
18,Frontier Math (AIME),empty,empty,empty,987,0,0,0,1,STABLE,1,0.0566,26.45,0,0.0
19,Frontier Math (AIME),empty,empty,empty,63,0,0,0,1,STABLE,1,0.0808899999999999,45.12,0,0.0
20,Frontier Math (AIME),72,72,72,72,1,1,1,1,STABLE,1,0.07597,52.0,0,0.0
21,Frontier Math (AIME),empty,empty,empty,869,0,0,0,1,STABLE,1,0.00792,14.3,0,0.0
22,Frontier Math (AIME),empty,empty,empty,112,0,0,0,1,STABLE,1,0.0726499999999999,50.52,0,0.0
23,Frontier Math (AIME),empty,empty,empty,64,0,0,0,0,UNSTABLE,10,0.9198,531.02,0,0.0
24,Frontier Math (AIME),empty,empty,empty,105,0,0,0,1,UNSTABLE,10,0.92824,587.18,0,0.0
25,Frontier Math (AIME),empty,empty,empty,25,0,0,0,1,STABLE,5,0.10985,56.5,0,0.0
26,Frontier Math (AIME),89,89,89,89,1,1,1,1,STABLE,1,0.07254,31.59,0,0.0
27,Frontier Math (AIME),-\frac{\sqrt{7}}{7}(x - 5) \right,-\frac{\sqrt{7}}{7}(x - 5) \right,-\frac{\sqrt{7}}{7}(x - 5) \right,36,0,0,0,1,UNSTABLE,10,0.91806,447.47,0,0.0
28,Frontier Math (AIME),empty,empty,empty,300,0,0,0,1,STABLE,10,0.34059,269.27,0,0.0
29,Frontier Math (AIME),125,125,125,125,1,1,1,1,STABLE,1,0.0928099999999999,42.23,0,0.0
30,Frontier Math (AIME),empty,empty,empty,913,0,0,0,1,STABLE,1,0.06781,33.82,0,0.0
31,Frontier Math (AIME),empty,empty,empty,408,0,0,0,1,STABLE,1,0.15469,85.55,0,0.0
32,Frontier Math (AIME),empty,empty,empty,560,0,0,0,1,STABLE,1,0.06493,45.81,0,0.0
33,Frontier Math (AIME),empty,empty,empty,"0,135",0,0,0,0,STABLE,1,0.08362,47.39,0,0.0
34,Frontier Math (AIME),340,340,340,340,1,1,1,1,STABLE,1,0.1080199999999999,43.55,0,0.0
35,Frontier Math (AIME),empty,empty,empty,88,0,0,0,1,STABLE,1,0.0508599999999999,22.54,0,0.0
36,Frontier Math (AIME),empty,empty,empty,625,0,0,0,1,STABLE,7,0.8825700000000001,480.64,0,0.0
37,Frontier Math (AIME),729,729,729,729,1,1,1,1,STABLE,1,0.0969199999999999,50.52,0,0.0
38,Frontier Math (AIME),259,259,259,259,1,1,1,1,STABLE,1,0.0983899999999999,43.67,0,0.0
39,Frontier Math (AIME),empty,empty,empty,489,0,0,0,1,UNSTABLE,10,0.38508,297.36,0,0.0
40,Frontier Math (AIME),empty,empty,empty,x + √3 y - 50,0,0,0,0,STABLE,1,0.2123999999999999,88.22,0,0.0
41,Frontier Math (AIME),13,13,13,13,1,1,1,1,STABLE,1,0.05018,23.21,0,0.0
42,Frontier Math (AIME),200,200,200,200,1,1,1,1,STABLE,1,0.0697,31.0,0,0.0
43,Frontier Math (AIME),empty,empty,empty,79,0,0,0,1,STABLE,1,0.0328899999999999,25.15,0,0.0
44,Frontier Math (AIME),463,463,463,463,1,1,1,1,STABLE,1,0.03145,19.27,0,0.0
45,Frontier Math (AIME),empty,empty,empty,94,0,0,0,1,STABLE,1,0.0153999999999999,17.62,0,0.0
46,Frontier Math (AIME),empty,empty,empty,2 s c c_y + (1 - 2 s^2) s_y,0,0,0,0,UNSTABLE,10,1.01568,553.84,0,0.0
47,Frontier Math (AIME),empty,empty,empty,330,0,0,0,1,STABLE,10,0.30629,232.41,0,0.0
48,Frontier Math (AIME),empty,empty,empty,89,0,0,0,1,UNSTABLE,10,0.66075,403.09,0,0.0
49,Frontier Math (AIME),empty,empty,empty,2S - (C + D),0,0,0,0,UNSTABLE,10,1.05,557.95,0,0.0
50,Frontier Math (AIME),empty,empty,empty,31,0,0,0,1,UNSTABLE,10,0.93996,504.88,0,0.0
51,Frontier Math (AIME),52,52,52,52,1,1,1,1,STABLE,1,0.0302799999999999,21.09,0,0.0
52,Frontier Math (AIME),empty,empty,empty,"0,1",0,0,0,0,UNSTABLE,10,1.03632,542.15,0,0.0
