Idx,Category,Qwen_Guess,Llama_Guess,Consensus_S1,DASE_Final,Qwen_Acc,Llama_Acc,Consensus_Acc,DASE_Acc,State,Steps,Cost,Duration,Infra_Noise,Infra_Noise_Rate
1,Frontier Math (AIME),(x_2 + p)^2 - (x_2 - p)^2,(x_2 + p)^2 - (x_2 - p)^2,(x_2 + p)^2 - (x_2 - p)^2,ABCD,0,0,0,0,UNSTABLE,15,1.48324,794.39,0,0.0
2,Frontier Math (AIME),164,164,164,164,1,1,1,1,STABLE,1,0.06134,26.57,0,0.0
3,Frontier Math (AIME),20,20,20,20,1,1,1,1,STABLE,1,0.03225,15.67,0,0.0
4,Frontier Math (AIME),153,153,153,153,0,0,0,0,STABLE,1,0.14151,58.26,0,0.0
5,Frontier Math (AIME),empty,empty,empty,728,0,0,0,1,STABLE,1,0.00917,19.84,0,0.0
6,Frontier Math (AIME),empty,empty,empty,n,0,0,0,0,STABLE,1,0.0432899999999999,43.06,0,0.0
7,Frontier Math (AIME),152,152,152,152,1,1,1,1,STABLE,1,0.1066,60.03,0,0.0
8,Frontier Math (AIME),501,501,501,501,1,1,1,1,STABLE,1,0.06161,26.23,0,0.0
9,Frontier Math (AIME),480,480,480,480,1,1,1,1,STABLE,1,0.1470099999999999,76.39,0,0.0
10,Frontier Math (AIME),106,106,106,106,1,1,1,1,STABLE,1,0.10572,44.74,0,0.0
11,Frontier Math (AIME),138 ± 137.9,138 ± 137.9,138 ± 137.9,5,0,0,0,1,STABLE,12,0.86635,469.91,0,0.0
12,Frontier Math (AIME),empty,empty,empty,368,0,0,0,1,STABLE,1,0.03614,44.69,0,0.0
13,Frontier Math (AIME),empty,empty,empty,250,0,0,0,1,STABLE,9,0.56531,281.24,0,0.0
14,Frontier Math (AIME),empty,empty,empty,29,0,0,0,1,UNSTABLE,15,0.99627,493.57,0,0.0
15,Frontier Math (AIME),112,112,112,112,1,1,1,1,STABLE,1,0.0444699999999999,28.57,0,0.0
16,Frontier Math (AIME),empty,empty,empty,158,0,0,0,1,STABLE,1,0.02656,23.24,0,0.0
17,Frontier Math (AIME),660,660,660,660,1,1,1,1,STABLE,1,0.04208,46.59,0,0.0
18,Frontier Math (AIME),empty,empty,empty,987,0,0,0,1,UNSTABLE,15,0.85939,463.93,0,0.0
